trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-191.74583009333446,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-116.52454673669413,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-123.24706228055054,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-130.9285937866392,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-104.89663284907985,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,3,-114.88065981798262,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-42.2594628406503,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-157.56472754341385,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-59.26573471435615,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-116.10286059448465,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-82.46714462895517,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-66.3161015443671,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-283.39930073216226,"{0: 18, 1: 0, 2: 2, 3: 6, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-58.499860647062825,"{0: 30, 1: 0, 2: 1, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,24,10.89067681574992,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-146.67463355070225,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,-92.80978095147495,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-42.849132793282536,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,12,-42.41558598765063,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-102.99055432499746,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
1,True,"{'a': 0.0, 'e': 1.0}",35,0,-93.37630679598317,"{0: 29, 1: 0, 2: 2, 3: 3, 4: 1}",0
2,True,"{'a': 0.0, 'e': 1.0}",20,0,-55.59483613859526,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 1.0}",25,0,-257.178848323105,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
4,True,"{'a': 0.0, 'e': 1.0}",20,1,6.956726288465492,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 1.0}",25,0,12.47650334935784,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 1.0}",30,0,-108.46519609432946,"{0: 24, 1: 0, 2: 1, 3: 4, 4: 1}",0
7,True,"{'a': 0.0, 'e': 1.0}",20,0,-59.351701951141806,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0.0, 'e': 1.0}",20,0,-113.15875152777694,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 1.0}",20,0,-20.32085869449325,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 1.0}",20,0,-70.25499825316079,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
