trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.97, 'e': 0.97}",20,0,-149.9759301073385,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.97, 'e': 0.9409}",30,0,-181.38312122805252,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.97, 'e': 0.912673}",25,0,-70.50022131121567,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.97, 'e': 0.8852928099999999}",20,8,-75.04999143481338,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.97, 'e': 0.8587340256999999}",35,14,-40.69577388916083,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.97, 'e': 0.8329720049289998}",25,0,-10.345597024866901,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.97, 'e': 0.8079828447811298}",20,0,-59.48851695537442,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.97, 'e': 0.7837433594376959}",20,1,-83.45147857783157,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
9,False,"{'a': 0.97, 'e': 0.7602310586545651}",20,0,-46.83520230597105,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.97, 'e': 0.7374241268949281}",20,0,-92.17175321468079,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.97, 'e': 0.7153014030880802}",20,0,-49.785105629641144,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.97, 'e': 0.6938423609954377}",20,0,8.26770971670235,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.97, 'e': 0.6730270901655746}",20,11,-27.220147920278443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.97, 'e': 0.6528362774606074}",25,0,-127.39803283413632,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.97, 'e': 0.6332511891367891}",35,0,-12.920821945834982,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.97, 'e': 0.6142536534626855}",20,0,19.784069599234197,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.97, 'e': 0.5958260438588049}",25,11,-24.373328932537216,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.97, 'e': 0.5779512625430407}",20,4,-37.296293342946925,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.97, 'e': 0.5606127246667495}",30,12,26.024867359386327,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.97, 'e': 0.543794342926747}",25,0,-34.1928244086983,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.97, 'e': 0.5274805126389446}",20,0,15.34260508785842,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.97, 'e': 0.5116560972597762}",20,0,9.160932807602393,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.97, 'e': 0.49630641434198286}",25,0,-54.90142559148929,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
24,False,"{'a': 0.97, 'e': 0.48141722191172337}",20,9,17.70587618897422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.97, 'e': 0.4669747052543717}",20,6,-12.257692104147829,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
26,False,"{'a': 0.97, 'e': 0.4529654640967405}",25,7,-12.326579651022856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.97, 'e': 0.4393765001738383}",25,0,23.004167566461547,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.97, 'e': 0.42619520516862314}",30,12,21.34298517566947,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.97, 'e': 0.4134093490135644}",25,3,-37.63356323969792,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
30,False,"{'a': 0.97, 'e': 0.4010070685431575}",25,0,-18.631295229292878,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
31,False,"{'a': 0.97, 'e': 0.38897685648686275}",20,0,-37.46577116710503,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.97, 'e': 0.37730755079225686}",30,12,30.210397795509888,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.97, 'e': 0.36598832426848915}",20,10,-13.80615403955819,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.97, 'e': 0.35500867454043444}",25,0,-6.16132582959443,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.97, 'e': 0.3443584143042214}",30,13,29.465898601658516,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.97, 'e': 0.33402766187509475}",20,13,-30.209437225604102,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.97, 'e': 0.3240068320188419}",20,6,-105.70257625520259,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
38,False,"{'a': 0.97, 'e': 0.31428662705827665}",25,15,-14.744715789042985,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.97, 'e': 0.30485802824652836}",35,17,-66.56333568169384,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.97, 'e': 0.29571228739913247}",20,12,-9.27110375397149,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.97, 'e': 0.2868409187771585}",20,0,-16.96243455301197,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.97, 'e': 0.2782356912138437}",20,3,-24.307989397913325,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.97, 'e': 0.2698886204774284}",20,7,17.23865218578984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.97, 'e': 0.26179196186310555}",25,0,-58.87239954937845,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.97, 'e': 0.25393820300721237}",20,2,26.626289458557956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.97, 'e': 0.246320056916996}",25,0,37.44817518135489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.97, 'e': 0.2389304552094861}",25,2,8.383667503735486,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.97, 'e': 0.23176254155320153}",20,15,-11.923400676895257,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.97, 'e': 0.22480966530660546}",20,0,-68.36965217076737,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
50,False,"{'a': 0.97, 'e': 0.2180653753474073}",20,0,-19.78979516356909,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.97, 'e': 0.21152341408698508}",20,14,9.459201036924757,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.97, 'e': 0.2051777116643755}",30,16,-14.622952429702174,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.97, 'e': 0.19902238031444425}",20,10,18.842265889075826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.97, 'e': 0.19305170890501092}",25,9,12.690944747378143,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.97, 'e': 0.18726015763786058}",20,15,10.202877960725232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.97, 'e': 0.18164235290872474}",30,0,-9.059548441434611,"{0: 26, 1: 2, 2: 0, 3: 2, 4: 0}",0
57,False,"{'a': 0.97, 'e': 0.176193082321463}",25,19,9.111366462249649,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.97, 'e': 0.1709072898518191}",20,0,-23.469310409096366,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.97, 'e': 0.16578007115626453}",20,9,-22.909996602678184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.97, 'e': 0.1608066690215766}",20,3,-27.831669218139975,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
61,False,"{'a': 0.97, 'e': 0.1559824689509293}",20,4,-19.758760564570984,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.97, 'e': 0.15130299488240143}",30,0,40.31004114985436,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.97, 'e': 0.14676390503592937}",25,0,15.314968312518687,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.97, 'e': 0.1423609878848515}",20,0,22.227696446623828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.97, 'e': 0.13809015824830592}",20,0,5.530295324080824,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
66,False,"{'a': 0.97, 'e': 0.13394745350085674}",25,19,-11.731370921088331,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.97, 'e': 0.12992902989583105}",25,19,10.567820343156447,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.97, 'e': 0.12603115899895612}",25,18,5.5026910672569045,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
