trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.03260579103663,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.68028574185334,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.57104853452398,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.8009021455996,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.52168334978015,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-237.7068251066676,"{0: 19, 1: 4, 2: 8, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.97251025321503,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.78571581911626,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,10,-101.83062746835174,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.39304844159082,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.7371348607151,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-321.4790241292448,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.6869556519523,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-271.73573647256353,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.25182629309256,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.61684653738301,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.88412001025503,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.8170820870459,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.66754042756587,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.88237181542559,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.79088145967452,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.83429472029474,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.9438779090657,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.60089983921883,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.05448482416678,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.08119367807743,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.93006688664188,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-119.10226356318829,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.15015456714307,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.88689892608332,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
